feature,importance_duration,importance_outcome,importance_duration_norm,importance_outcome_norm
app_type_encoded,0.005620373980739598,0.014035751676757264,0.022197262552186504,0.04381022700077044
case_length,0.09104713091018357,0.1164536734340918,0.35958409108759926,0.3634904624787331
loan_goal_encoded,0.05263801909889112,0.023562945825566114,0.20789006819993477,0.07354775356523005
num_call_events,0.1684765298507121,0.08614378430777407,0.6653859297963346,0.26888326554526976
num_leads_events,0.0,0.0,0.0,0.0
num_unique_activities,0.04864174954536245,0.28063269807085645,0.19210708920014374,0.8759475437772465
num_unique_resources,0.25320122098506115,0.08532203289561845,1.0,0.2663183073774533
num_validate_events,0.22447321915547827,0.32037614588279656,0.886540824258988,1.0
requested_amount,0.08432823109907935,0.04128764246868943,0.33304827982663915,0.1288723988951216
start_month,0.07157352537449249,0.032185325437849875,0.2826744874927571,0.10046105445573422
